samplename	publiid
Dambach_a114	48
Dambach_a115	48
Dambach_a116	48
Dambach_a117	48
Dambach_a118	48
Dambach_a119	48
Dambach_a12	48
Dambach_a120	48
Dambach_a121	48
Dambach_a122	48
Dambach_a123	48
Dambach_a124	48
Dambach_a125	48
Dambach_a126	48
Dambach_a127	48
Dambach_a128	48
Dambach_a129	48
Dambach_a13	48
Dambach_a130	48
Dambach_a131	48
Dambach_a132	48
Dambach_a133	48
Dambach_a134	48
Dambach_a135	48
Dambach_a136	48
Dambach_a137	48
Dambach_a138	48
Dambach_a139	48
Dambach_a14	48
Dambach_a140	48
Dambach_a141	48
Dambach_a142	48
Dambach_a143	48
Dambach_a144	48
Dambach_a145	48
Dambach_a146	48
Dambach_a147	48
Dambach_a148	48
Dambach_a149	48
Dambach_a15	48
Dambach_a150	48
Dambach_a151	48
Dambach_a152	48
Dambach_a153	48
Dambach_a154	48
Dambach_a155	48
Dambach_a156	48
Dambach_a157	48
Dambach_a158	48
Dambach_a159	48
Dambach_a16	48
Dambach_a160	48
Dambach_a161	48
Dambach_a162	48
Dambach_a163	48
Dambach_a164	48
Dambach_a165	48
Dambach_a166	48
Dambach_a167	48
Dambach_a168	48
Dambach_a169	48
Dambach_a17	48
Dambach_a170	48
Dambach_a171	48
Dambach_a172	48
Dambach_a173	48
Dambach_a174	48
Dambach_a175	48
Dambach_a176	48
Dambach_a177	48
Dambach_a178	48
Dambach_a179	48
Dambach_a18	48
Dambach_a180	48
Dambach_a181	48
Dambach_a182	48
Dambach_a183	48
Dambach_a184	48
Dambach_a185	48
Dambach_a186	48
Dambach_a187	48
Dambach_a188	48
Dambach_a189	48
Dambach_a19	48
Dambach_a190	48
Dambach_a191	48
Dambach_a192	48
Dambach_a193	48
Dambach_a194	48
Dambach_a195	48
Dambach_a196	48
Dambach_a197	48
Dambach_a198	48
Dambach_a199	48
Dambach_a2	48
Dambach_a20	48
Dambach_a200	48
Dambach_a201	48
Dambach_a202	48
Dambach_a203	48
Dambach_a204	48
Dambach_a205	48
Dambach_a206	48
Dambach_a207	48
Dambach_a208	48
Dambach_a209	48
Dambach_a21	48
Dambach_a210	48
Dambach_a211	48
Dambach_a212	48
Dambach_a213	48
Dambach_a214	48
Dambach_a215	48
Dambach_a216	48
Dambach_a217	48
Dambach_a218	48
Dambach_a219	48
Dambach_a22	48
Dambach_a220	48
Dambach_a221	48
Dambach_a222	48
Dambach_a223	48
Dambach_a224	48
Dambach_a225	48
Dambach_a226	48
Dambach_a227	48
Dambach_a228	48
Dambach_a229	48
Dambach_a23	48
Dambach_a230	48
Dambach_a231	48
Dambach_a232	48
Dambach_a233	48
Dambach_a234	48
Dambach_a235	48
Dambach_a236	48
Dambach_a237	48
Dambach_a238	48
Dambach_a239	48
Dambach_a24	48
Dambach_a240	48
Dambach_a241	48
Dambach_a242	48
Dambach_a243	48
Dambach_a244	48
Dambach_a245	48
Dambach_a246	48
Dambach_a247	48
Dambach_a248	48
Dambach_a249	48
Dambach_a25	48
Dambach_a250	48
Dambach_a251	48
Dambach_a252	48
Dambach_a253	48
Dambach_a254	48
Dambach_a255	48
Dambach_a256	48
Dambach_a257	48
Dambach_a258	48
Dambach_a259	48
Dambach_a26	48
Dambach_a260	48
Dambach_a261	48
Dambach_a262	48
Dambach_a263	48
Dambach_a264	48
Dambach_a265	48
Dambach_a266	48
Dambach_a267	48
Dambach_a268	48
Dambach_a269	48
Dambach_a27	48
Dambach_a270	48
Dambach_a271	48
Dambach_a272	48
Dambach_a273	48
Dambach_a274	48
Dambach_a275	48
Dambach_a276	48
Dambach_a277	48
Dambach_a278	48
Dambach_a279	48
Dambach_a28	48
Dambach_a280	48
Dambach_a281	48
Dambach_a282	48
Dambach_a283	48
Dambach_a284	48
Dambach_a285	48
Dambach_a286	48
Dambach_a287	48
Dambach_a288	48
Dambach_a289	48
Dambach_a29	48
Dambach_a290	48
Dambach_a291	48
Dambach_a292	48
Dambach_a293	48
Dambach_a294	48
Dambach_a295	48
Dambach_a296	48
Dambach_a297	48
Dambach_a298	48
Dambach_a299	48
Dambach_a3	48
Dambach_a30	48
Dambach_a300	48
Dambach_a301	48
Dambach_a302	48
Dambach_a303	48
Dambach_a304	48
Dambach_a305	48
Dambach_a306	48
Dambach_a307	48
Dambach_a308	48
Dambach_a309	48
Dambach_a31	48
Dambach_a310	48
Dambach_a311	48
Dambach_a312	48
Dambach_a313	48
Dambach_a314	48
Dambach_a315	48
Dambach_a316	48
Dambach_a317	48
Dambach_a318	48
Dambach_a319	48
Dambach_a32	48
Dambach_a320	48
Dambach_a321	48
Dambach_a322	48
Dambach_a323	48
Dambach_a324	48
Dambach_a325	48
Dambach_a326	48
Dambach_a327	48
Dambach_a328	48
Dambach_a329	48
Dambach_a33	48
Dambach_a330	48
Dambach_a331	48
Dambach_a332	48
Dambach_a333	48
Dambach_a334	48
Dambach_a335	48
Dambach_a336	48
Dambach_a337	48
Dambach_a338	48
Dambach_a339	48
Dambach_a34	48
Dambach_a340	48
Dambach_a341	48
Dambach_a342	48
Dambach_a343	48
Dambach_a344	48
Dambach_a345	48
Dambach_a346	48
Dambach_a347	48
Dambach_a348	48
Dambach_a349	48
Dambach_a35	48
Dambach_a350	48
Dambach_a351	48
Dambach_a352	48
Dambach_a353	48
Dambach_a354	48
Dambach_a355	48
Dambach_a356	48
Dambach_a357	48
Dambach_a358	48
Dambach_a359	48
Dambach_a36	48
Dambach_a360	48
Dambach_a361	48
Dambach_a362	48
Dambach_a363	48
Dambach_a364	48
Dambach_a365	48
Dambach_a366	48
Dambach_a367	48
Dambach_a368	48
Dambach_a369	48
Dambach_a37	48
Dambach_a370	48
Dambach_a371	48
Dambach_a372	48
Dambach_a373	48
Dambach_a374	48
Dambach_a375	48
Dambach_a376	48
Dambach_a377	48
Dambach_a378	48
Dambach_a379	48
Dambach_a38	48
Dambach_a380	48
Dambach_a381	48
Dambach_a382	48
