var_	acc_var_	original_varname	acc_varname	groupid	notes
1099		Cercophora-type	Cercophora-type	FUNG	NULL
1100		Chaerophyllum hirsutum-type	Chaerophyllum hirsutum-type	HERB	NULL
1101		Minuartia rubra-type	Minuartia rubra-type/Bufonia	HERB	NULL
1102		Xanthium strumarium	Xanthium strumarium	HERB	NULL
1103		Potamogeton-type	Potamogeton-type	AQUA	NULL
1104		Ophioglossum vulgatum	Ophioglossum vulgatum	VACR	NULL
1105		Eurumex	Eurumex	HERB	NULL
1106		Scrophularia/Verbascum	Scrophularia/Verbascum	HERB	NULL
1107		Polygonum convolvulus-type	Polygonum convolvulus-type	HERB	NULL
1108		Impatiens	Impatiens	HERB	NULL
1109		Oxalis acetosella	Oxalis acetosella	HERB	NULL
1110		Valeriana-type	Valeriana-type	HERB	NULL
1111		Scabiosa/Succisa-type	Scabiosa/Succisa-type	HERB	NULL
1112		Aesculus hippocastanum	Aesculus hippocastanum	TRSH	NULL
1113		Calluna-type	Calluna-type	DWAR	NULL
1114		Iris-type	Iris-type	HERB	NULL
1115		Polygonum sect. Persicaria	Persicaria maculosa-type	HERB	NULL
1116		Sambucus-type	Sambucus-type	TRSH	NULL
1117		Fagus orientalis	Fagus orientalis	TRSH	NULL
1118		Polypodiaceae undifferentiated	Polypodiaceae undifferentiated	VACR	NULL
1119		Picea abies	Picea abies-type	TRSH	NULL
1120		Rumex acetosa-type/Oxyria	Rumex acetosa-type/Oxyria	HERB	NULL
1121		Nymphaea alba-type	Nymphaea alba-type	AQUA	NULL
1122		Abies alba	Abies	TRSH	NULL
1123		Anemone nemorosa-type	Anemone nemorosa-type	HERB	NULL
1124		Cardamine-type	Cardamine-type	HERB	NULL
1125		Rumex aquaticus-type	Rumex aquaticus-type	HERB	NULL
1126		Bryales	Bryophyte spores	BRYO	NULL
1127		Callidina angusticollis	Callidina angusticollis	ROTI	NULL
1128		Copepoda	Copepoda	MICR	NULL
1129		Hyalosphenia subflava	Hyalosphenia subflava	RHIZ	NULL
1130		Microthyriaceae fruitbody	Microthyriaceae fruitbody	FUNG	NULL
1131		Rhizopoda	Rhizopoda	RHIZ	NULL
1132		Pediastrum duplex	Pediastrum duplex	ALGA	NULL
1133		Ranunculus acris-group	Ranunculus acris-group	HERB	NULL
1134		Rumex acetosa/R. acetosella	Rumex acetosa/R. acetosella	HERB	NULL
1135		Rumex obtusifolius-type	Rumex obtusifolius-type	HERB	NULL
1136		Spergula arvensis	Spergula arvensis	HERB	NULL
1137		Trifolium repens	Trifolium repens-type	HERB	NULL
1138		Trifolium spadiceum-type	Trifolium spadiceum-type	HERB	NULL
1139		Anthoceros punctatus	Anthoceros punctatus-type	BRYO	NULL
1140		Pteridophyta monolete undifferentiated	Pteridophyta monolete undifferentiated	VACR	NULL
1141		Rosa/Prunus	Rosa/Prunus	TRSH	NULL
1142		Scutellaria-type	Scutellaria-type	HERB	NULL
1143		Filicopsida	Filicopsida	VACR	NULL
1144		Heracleum sphondylium	Heracleum sphondylium	HERB	NULL
1145		Ranunculus acris	Ranunculus acris-type	HERB	NULL
1146		Lycopodium (added)	Lycopodium (added)	NOPO	NULL
1147		Alnus glutinosa/A. incana	Alnus glutinosa-type	TRSH	NULL
1148		Alchemilla-type	Alchemilla	HERB	NULL
1149		Asteraceae undifferentiated	Asteraceae	HERB	NULL
1150		Cichoriaceae	Asteraceae subf. Cichorioideae	HERB	NULL
1151		Calystegia	Calystegia	HERB	NULL
1152		Alnus undifferentiated	Alnus	TRSH	NULL
1153		Betula undifferentiated	Betula	TRSH	NULL
1154		Eupatorium-type	Eupatorium-type	HERB	NULL
1155		Rumex/Oxyria	Rumex/Oxyria	HERB	NULL
1156		Asteraceae	Asteraceae	HERB	NULL
1157		Polygonum convolvulus	Fallopia	HERB	NULL
1158		Pteropsida undifferentiated	Pteropsida undifferentiated	VACR	NULL
1159		Ledum palustre	Ledum palustre	DWAR	NULL
1160		Ephedra distachya	Ephedra distachya-type	TRSH	NULL
1161		Linaria	Linaria-type	HERB	NULL
1162		Luzula	Luzula	HERB	NULL
1163		Sparganiaceae/Typhaceae	Sparganiaceae/Typhaceae	AQUA	NULL
1164		Weight	Weight	NOPO	NULL
1165		Cerastium arvense-type	Cerastium arvense-type	HERB	NULL
1166		Achillea/Aster-type	Asteraceae subf. Asteroideae	HERB	NULL
1167		Triticum/Avena-type	Triticum/Avena-type	HERB	NULL
1168		Cardueae	Asteraceae subf. Carduoideae	HERB	NULL
1169		Centaurea montana-type	Centaurea montana-type	HERB	NULL
1170		Convolvulus arvensis-type	Convolvulus arvensis-type	HERB	NULL
1171		Dipsacus fullonum-type	Dipsacus fullonum-type	HERB	NULL
1172		Fagopyrum esculentum-type	Fagopyrum esculentum-type	HERB	NULL
1173		Malva sylvestris-type	Malva sylvestris-type	HERB	NULL
1174		Plantago major/P. media-type	Plantago major/P. media-type	HERB	NULL
1175		Resedaceae	Resedaceae	HERB	NULL
1176		Arcella	Arcella	RHIZ	NULL
1177		Coniochaeta cf. C. ligniairia	Coniochaeta cf. C. ligniairia	FUNG	NULL
1178		Exotic grains	Exotic grains	NOPO	NULL
1179		Glomus cf. G. fasciculatum	Glomus cf. G. fasciculatum	FUNG	NULL
1180		Lycopodium annotinum-type	Lycopodium annotinum-type	VACR	NULL
1181		Rivularia-type	Rivularia-type	CYAN	NULL
1182		Onobrychis	Onobrychis	HERB	NULL
1183		Rumex alpinus	Rumex alpinus	HERB	NULL
1184		Amphitrema flavum	Amphitrema flavum	RHIZ	NULL
1185		Counted exote	Counted exote	NOPO	NULL
1186		Dryopteris dilatata-type	Dryopteris dilatata	VACR	NULL
1187		Lycopodium (grains/tablet)	Lycopodium (spores/tablet)	NOPO	NULL
1188		Lycopodium tablets (number)	Lycopodium tablets (number)	NOPO	NULL
1189		Papilionaceae	Fabaceae	HERB	NULL
1190		Daucus carota	Daucus	HERB	NULL
1191		Assulina muscorum	Assulina muscorum	RHIZ	NULL
1192		Stomata	Stomata	VEMI	NULL
1193		Trilete fern spores	Trilete fern spores	VACR	NULL
1194		Cannabis sativa	Cannabis sativa	HERB	NULL
1195		Caryophyllaceae subfam. Silenoideae-type	Caryophyllaceae subfam. Silenoideae-type	HERB	NULL
1196		Ligusticum mutellina	Ligusticum mutellina	HERB	NULL
1197		Ranunculus subgen. Batrachium	Ranunculus subgen. Batrachium	AQUA	NULL
1198		Sambucus nigra	Sambucus nigra	TRSH	NULL
1199		Sarothamnus scoparius	Sarothamnus scoparius	TRSH	NULL
1200		Eupatorium	Eupatorium	HERB	NULL
1201		Ononis-type	Ononis	HERB	NULL
1202		Sanguisorba minor-type	Sanguisorba minor-type	HERB	NULL
1203		Sample surface (cm2)	Sample surface (cm2)	NOPO	NULL
1204		Acer campestre-type	Acer campestre-type	TRSH	NULL
1205		Betula pendula/pubescens	Betula pendula/pubescens	TRSH	NULL
1206		Populus tremula-type	Populus tremula-type	TRSH	NULL
1207		Quercus robur-group	Quercus robur-group	TRSH	NULL
1208		Anemone nemorosa/ranunculoides	Anemone nemorosa/ranunculoides	HERB	NULL
1209		Cannabis/Humulus-type	Cannabis/Humulus-type	HERB	NULL
1210		Filipendula ulmaria	Filipendula ulmaria	HERB	NULL
1211		Ranunculus aconitifolius	Ranunculus aconitifolius	HERB	NULL
1212		Rumex alpestris	Rumex alpestris	HERB	NULL
1213		Caltha palustris-type	Caltha palustris-type	AQUA	NULL
1214		Sphagnum-type	Sphagnum-type	BRYO	NULL
1215		Ustulina deusta	Ustulina deusta	FUNG	NULL
1216		Bellis	Aster-type	HERB	NULL
1217		Bartsia-type	Bartsia-type	HERB	NULL
1218		Pimpinella major-type	Pimpinella major-type	HERB	NULL
1219		Plantago media	Plantago media	HERB	NULL
1220		Rumex conglomeratus-type	Rumex conglomeratus-type	HERB	NULL
1221		Saxifraga granulata-type	Saxifraga granulata-type	HERB	NULL
1222		Tuberaria	Tuberaria	HERB	NULL
1223		Tussilago farfara	Tussilago farfara	HERB	NULL
1224		Sparganium angustifolium-type	Sparganium angustifolium-type	AQUA	NULL
1225		Anthriscus sylvestris-type	Anthriscus sylvestris-type	HERB	NULL
1226		Gentiana pneumonanthe-type	Gentiana pneumonanthe-type	HERB	NULL
1227		Inula	Inula	HERB	NULL
1228		Lycopodium inundatum	Lycopodium inundatum	VACR	NULL
1229		Papaver rhoeas-type	Papaver rhoeas-type	HERB	NULL
1230		Hippocrepis comosa	Hippocrepis comosa	HERB	NULL
1231		Minuartia verna-type	Minuartia verna-type	HERB	NULL
1232		Anthericum	Anthericum	HERB	NULL
1233		Cyclamen hederifolium	Cyclamen hederifolium	HERB	NULL
1234		Laserpitium prutenicum	Laserpitium prutenicum	HERB	NULL
1235		Larix: stomata	Larix: stomata	VEMI	NULL
1236		Arenaria	Arenaria	HERB	NULL
1237		Arnica montana	Arnica montana	HERB	NULL
1238		Senecio	Senecio-type	HERB	NULL
1239		Stellaria holostea	Stellaria holostea	HERB	NULL
1240		Ranunculus lingua-type	Ranunculus lingua-type	HERB	NULL
1241		Mineral particles > 20 -_m	Mineral particles > 20 -_m	NOPO	NULL
1242		Liliaceae-type	Liliaceae-type	HERB	NULL
1243		Sambucus racemosa	Sambucus racemosa	TRSH	NULL
1244		Solidago	Aster-type	HERB	NULL
1245		Gypsophila repens-type	Gypsophila repens-type	HERB	NULL
1246		Cystopteris fragilis	Cystopteris fragilis	VACR	NULL
1247		Podospora-type	Podospora-type	FUNG	NULL
1248		Humulus/Cannabis-type	Humulus/Cannabis	HERB	NULL
1249		Typha/Sparganium-type	Typha/Sparganium	AQUA	NULL
1250		Sempervivum	Sempervivum	HERB	NULL
1251		Erigeron	Erigeron	HERB	NULL
1252		Empetrum-type	Empetrum/Ledum	DWAR	NULL
1253		Lycopodiaceae	Lycopodiaceae	VACR	NULL
1254		Pinus haploxylon-type	Pinus cembra-type	TRSH	NULL
1255		Rosaceae subfam. Maloideae	Rosaceae subfam. Maloideae	TRSH	NULL
1256		Ulmus glabra	Ulmus glabra	TRSH	NULL
1257		Ulmus minor	Ulmus minor	TRSH	NULL
1258		Convolvulaceae undifferentiated	Convolvulaceae undifferentiated	HERB	NULL
1259		Fagopyrum esculentum	Fagopyrum esculentum	HERB	NULL
1260		Fagopyrum tataricum	Fagopyrum tataricum	HERB	NULL
1261		Poaceae undifferentiated	Poaceae	HERB	NULL
1262		Spergula/Spergularia	Spergula/Spergularia	HERB	NULL
1263		Riccia	Riccia	NOPO	NULL
1264		Thalictrum undifferentiated	Thalictrum undifferentiated	HERB	NULL
1265		Alnus incana	Alnus glutinosa-type	TRSH	NULL
1266		Alnus non-viridis	Alnus non-viridis	TRSH	NULL
1267		Pinus non-cembra	Pinus non-cembra	TRSH	NULL
1268		Salix helvetica-type	Salix helvetica-type	TRSH	NULL
1269		Salix herbacea	Salix herbacea	DWAR	NULL
1270		Pulsatilla	Anemone nemorosa-type	HERB	NULL
1271		Anthoxanthum	Anthoxanthum	HERB	NULL
1272		Artemisia genipii/A. mutellina	Artemisia genipii/A. mutellina	HERB	NULL
1273		Aster bellidiastrum	Aster bellidiastrum	HERB	NULL
1274		Carum carvi	Carum carvi	HERB	NULL
1275		Chrysanthemum alpinum	Chrysanthemum alpinum	HERB	NULL
1276		Crepis aurea	Crepis aurea	HERB	NULL
1277		Deschampsia	Deschampsia	HERB	NULL
1278		Gentiana nivalis-type	Gentiana nivalis-type	HERB	NULL
1279		Gentiana purpurea	Gentiana purpurea	HERB	NULL
1280		Homogyne alpina	Homogyne alpina	HERB	NULL
1281		Leontodon helveticus	Leontodon helveticus	HERB	NULL
1282		Nardus	Nardus	HERB	NULL
1283		Peucedanum ostruthium	Peucedanum ostruthium	HERB	NULL
1284		Poa/Festuca-type	Poa/Festuca-type	HERB	NULL
1285		Potentilla aurea	Potentilla aurea	HERB	NULL
1286		Ranunculus montanus-type	Ranunculus montanus-type	HERB	NULL
1287		Silene rupestris	Silene rupestris	HERB	NULL
1288		Thalictrum aquilegiifolium	Thalictrum aquilegiifolium	HERB	NULL
1289		Eriophorum angustifolium/E. vaginatum	Eriophorum angustifolium/E. vaginatum	AQUA	NULL
1290		Trichophorum caespitosum	Trichophorum caespitosum	AQUA	NULL
1291		Homogyne	Homogyne	HERB	NULL
1292		Sample dry mass (g)	Sample dry mass (g)	NOPO	NULL
1293		Pediastrum boryanum var. longicorne	Pediastrum boryanum var. longicorne	CHLO	NULL
1294		Abies: stomata	Abies: stomata	VEMI	NULL
1295		Gymnocarpium	Gymnocarpium	VACR	NULL
1296		Trifolium badium-type	Trifolium badium-type	HERB	NULL
1297		Rhododendron-type	Rhododendron-type	DWAR	NULL
1298		Athamanta cretensis	Athamanta cretensis	HERB	NULL
1299		Meum athamanticum	Meum athamanticum	HERB	NULL
1300		Added exote (grains/ml)	Added exote (grains/ml)	NOPO	NULL
1301		Viburnum/Sambucus	Viburnum/Sambucus	TRSH	NULL
1302		Selaginella helvetica-type	Selaginella helvetica-type	VACR	NULL
1303		Pirus-type	Pirus-type	INUN	NULL
1304		Berberis vulgaris	Berberis vulgaris	TRSH	NULL
1305		Saxifraga paniculata-type	Saxifraga paniculata-type	HERB	NULL
1306		Saussurea	Saussurea	HERB	NULL
1307		Setaria	Setaria	HERB	NULL
1308		Rhinanthus	Rhinanthus-type	HERB	NULL
1309		Barbarea-type	Barbarea-type	HERB	NULL
1310		Tilia platyphyllos	Tilia platyphyllos-type	TRSH	NULL
1311		Spores	Spores	VACR	NULL
1312		Salix glauca-type	Salix glauca-type	DWAR	NULL
1313		Ranunculus flammula-type	Ranunculus flammula-type	HELO	NULL
1314		cf. Xanthium-type	cf. Xanthium-type	INUN	NULL
1315		Ceratophyllum hair	Ceratophyllum hair	MACR	NULL
1316		Rumex subgen. Acetosa/R. subgen. Acetosella	Rumex subgen. Acetosa/R. subgen. Acetosella	HERB	NULL
1317		Viola tricolor	Viola tricolor	HERB	NULL
1318		Poaceae undifferentiated <40 -_m	Poaceae undifferentiated <40 -_m	HERB	NULL
1319		Poaceae undifferentiated >40 -_m	Poaceae undifferentiated >40 -_m	HERB	NULL
1320		Concentration of Lycopodium	Concentration of Lycopodium	NOPO	NULL
1321		Cannabis	Cannabis sativa	HERB	NULL
1322		Poaceae large	Poaceae large	HERB	NULL
1323		Rosaceae p.p.	Rosaceae p.p.	TRSH	NULL
1324		Asteroideae p.p.	Asteroideae p.p.	HERB	NULL
1325		Caryophyllaceae p.p.	Caryophyllaceae p.p.	HERB	NULL
1326		Poaceae p.p.	Poaceae p.p.	HERB	NULL
1327		Ranunculus acer-type	Ranunculus acer-type	HERB	NULL
1328		Fabaceae p.p.	Fabaceae p.p.	INUN	NULL
1329		Polypodiaceae p.p.	Polypodiaceae p.p.	VACR	NULL
1330		Cereales	Cerealia-type	HERB	NULL
1331		Mounted volume (0.001 ml)	Mounted volume (0.001 ml)	NOPO	NULL
1332		Number of counted lines	Number of counted lines	NOPO	NULL
1333		Size of cover glass (mm)	Size of cover glass (mm)	NOPO	NULL
1334		Wet weight (g)	Wet weight (g)	NOPO	NULL
1335		Stellaria-type	Cerastium-type	HERB	NULL
1336		Digitalis	Digitalis	HERB	NULL
1337		Total number of lines	Total number of lines	NOPO	NULL
1338		Volume of residue (ml)	Volume of residue (ml)	NOPO	NULL
1339		Hieracium-type	Crepis-type	HERB	NULL
1340		cf. Sorbus	cf. Sorbus	INUN	NULL
1341		Linum usitatissimum	Linum usitatissimum	HERB	NULL
1342		Bryidae	Bryidae	BRYO	NULL
1343		Dryopteris dilatata	Dryopteris dilatata	VACR	NULL
1344		Volume of sample (cm3)	Volume of sample (cm3)	NOPO	NULL
1345		Hedera-type	Hedera-type	LIAN	NULL
1346		Morus alba	Morus alba	TRSH	NULL
1347		Sorbus aucuparia-type	Sorbus aucuparia-type	TRSH	NULL
1348		Quantity of sample	Quantity of sample	NOPO	NULL
1349		Concentration spikes	Concentration spikes	NOPO	NULL
1350		Phragmites	Phragmites	AQUA	NULL
1351		Myosotis arvensis-type	Myosotis arvensis-type	HERB	NULL
1352		Lepidotis inundata	Lepidotis inundata	VACR	NULL
1353		Osmunda	Osmunda regalis	VACR	NULL
1354		Narthecium	Narthecium	HERB	NULL
1355		Mercurialis perennis	Mercurialis perennis-type	HERB	NULL
1356		Microthyrium	Microthyrium	FUNG	NULL
1357		Eucalyptus count	Eucalyptus count	TRSH	NULL
1358		Indeterminable: deteriorated	Indeterminable: deteriorated	INUN	NULL
1359		Fungal Hyphae	Fungal Hyphae	FUNG	NULL
1360		Hymenophyllum tunbrigense	Hymenophyllum tunbrigense	VACR	NULL
1361		Ribes	Ribes	TRSH	NULL
1362		Steris segetalis	Steris segetalis	HERB	NULL
1363		Urtica dioica	Urtica dioica	HERB	NULL
1364		Gentiana pneumonanthe	Gentiana pneumonanthe	HERB	NULL
1365		Jasione	Jasione montana-type	HERB	NULL
1366		Scleranthus annuus	Scleranthus annuus	HERB	NULL
1367		Trifolium undifferentiated	Trifolium undifferentiated	HERB	NULL
1368		Rhynchospora	Rhynchospora	HELO	NULL
1369		Lythrum salicaria	Lythrum salicaria-type	HERB	NULL
1370		Isoetes setacea	Isoetes setacea	AQPT	NULL
1371		Polypodium vulgare-type	Polypodium	VACR	NULL
1372		Rhamnus/Frangula	Rhamnus/Frangula	TRSH	NULL
1373		Stachys sylvatica-type	Stachys sylvatica-type	HERB	NULL
1374		Betula sect. Albae	Betula pubescens-type	TRSH	NULL
1375		Cardamine pratensis-type	Cardamine pratensis-type	HERB	NULL
1376		Potentilla subgen. Comarum	Potentilla subgen. Comarum	HERB	NULL
1377		Betula pendula	Betula pubescens-type	TRSH	NULL
1378		Betula pubescens	Betula pubescens-type	TRSH	NULL
1379		Pseudoschizaea	Pseudoschizaea	ALGA	NULL
1380		Alkanna	Alkanna-type	HERB	NULL
1381		Cyperus longus-type	Cyperus longus-type	AQUA	NULL
1382		Hystrix	Hystrix	DINO	NULL
1383		Pediastrum boryanum ssp. granulosum	Pediastrum boryanum ssp. granulosum	CHLO	NULL
1384		Pediastrum boryanum ssp. longicorne	Pediastrum boryanum ssp. longicorne	CHLO	NULL
1385		Ledum	Ledum palustre	DWAR	NULL
1386		Vaccinium oxycoccos	Vaccinium oxycoccos	DWAR	NULL
1387		Lysimachia-type	Lysimachia-type	HERB	NULL
1388		Botryococcus braunii	Botryococcus braunii	ALGA	NULL
1389		Cornus mas/C. suecica	Cornus mas/C. suecica	TRSH	NULL
1390		Achillea	Matricaria-type	HERB	NULL
1391		Diphasium alpinum-type	Diphasium alpinum-type	VACR	NULL
1392		Maianthemum-type	Maianthemum-type	HERB	NULL
1393		Narthecium-type	Narthecium-type	HERB	NULL
1394		Cheilanthes-type	Cheilanthes-type	VACR	NULL
1395		Alismataceae	Alismataceae	AQUA	NULL
1396		Onagraceae	Onagraceae	HERB	NULL
1397		Atriplex nudicaulis	Atriplex nudicaulis	HERB	NULL
1398		Cystopteris	Cystopteris	VACR	NULL
1399		Pediastrum kawraiskyi	Pediastrum kawraiskyi	ALGA	NULL
1400		Elymus	Elymus	HERB	NULL
1401		Diphasium	Diphasium	VACR	NULL
1402		Athyrium alpestre-type	Athyrium alpestre-type	VACR	NULL
1403		Thelypteris palustris-type	Thelypteris palustris-type	VACR	NULL
1404		Betula fruticosa	Betula fruticosa	TRSH	NULL
1405		Betula alba	Betula pubescens-type	TRSH	NULL
1406		Quercus cerris	Quercus cerris	TRSH	NULL
1407		Aconitum-type	Aconitum-type	HERB	NULL
1408		Lemnaceae	Lemnaceae	AQUA	NULL
1409		Pterocarya pterocarpa	Pterocarya pterocarpa	TRSH	NULL
1410		Cichorium	Cichorium	HERB	NULL
1411		Colchicum autumnale-type	Colchicum autumnale-type	HERB	NULL
1412		cf. Sedum-type	cf. Sedum-type	INUN	NULL
1413		Volume spike added	Volume spike added	NOPO	NULL
1414		Concentration of spike	Concentration of spike	NOPO	NULL
1415		Weight of tablets	Weight of tablets	NOPO	NULL
1416		Picea (half)	Picea (half)	TRSH	NULL
1417		Picea (whole)	Picea (whole)	TRSH	NULL
1418		Pinus (half)	Pinus (half)	TRSH	NULL
1419		Pinus (whole)	Pinus (whole)	TRSH	NULL
1420		Polypodiaceae/Aspidiaceae undifferentiated	Polypodiaceae/Aspidiaceae undifferentiated	VACR	NULL
1421		Hottonia palustris	Hottonia palustris	HERB	NULL
1422		Acer pseudoplatanus	Acer pseudoplatanus	TRSH	NULL
1423		Larix decidua	Larix decidua	TRSH	NULL
1424		Taraxacum	Asteraceae subf. Cichorioideae	HERB	NULL
1425		Taxodium	Taxodium	TRSH	NULL
1426		Urticales	Urticales	HERB	NULL
1427		Geum	Geum-type	HERB	NULL
1428		cf. Taraxacum	cf. Taraxacum	INUN	NULL
1429		Avena/Triticum	Avena/Triticum	HERB	NULL
1430		Dryopteris carthusiana	Dryopteris carthusiana	VACR	NULL
1431		Potamogeton subgen. Potamogeton	Potamogeton subgen. Potamogeton	AQUA	NULL
1432		Butomaceae	Butomaceae	AQUA	NULL
1433		Diphasium complanatum	Diphasium complanatum	VACR	NULL
1434		Diphasium alpinum	Diphasium alpinum	VACR	NULL
1435		Calystegia sepium	Calystegia sepium	HERB	NULL
1436		Angelica	Angelica	HERB	NULL
1437		Bilderdykia convolvulus	Bilderdykia convolvulus	HERB	NULL
1438		Rumex subgen. Acetosa	Rumex subgen. Acetosa	HERB	NULL
1439		Silene acaulis	Silene acaulis	HERB	NULL
1440		Trapa	Trapa natans	AQUA	NULL
1441		Picea abies subsp. abies	Picea abies subsp. abies	TRSH	NULL
1442		Rhizopoda undifferentiated	Rhizopoda undifferentiated	RHIZ	NULL
1443		Spermatophyta	Spermatophyta	INUN	NULL
1444		Lycopus-type	Mentha-type	HERB	NULL
1445		cf. Stellaria	cf. Stellaria	INUN	NULL
1446		Nymphaeaceae	Nymphaeaceae	AQUA	NULL
1447		Monocotyledones	Monocotyledones	INUN	NULL
1448		Trifolium pratense	Trifolium pratense-type	HERB	NULL
1449		Crepis	Crepis-type	HERB	NULL
1450		Pteridium-type	Pteridium aquilinum	VACR	NULL
1451		Compositae undifferentiated	Compositae undifferentiated	HERB	NULL
1452		Beta-type	Beta	HERB	NULL
1453		Hydrocharitaceae	Hydrocharitaceae	AQUA	NULL
1454		Typhaceae	Sparganium-type	AQUA	NULL
1455		Ranunculus peltatus-type	Ranunculus peltatus-type	AQUA	NULL
1456		Betula tortuosa	Betula pubescens-type	TRSH	NULL
1457		Lycopodium dubium	Lycopodium annotinum-type	VACR	NULL
1458		Armeria maritima	Armeria maritima	HERB	NULL
1459		Jasione montana	Jasione montana	HERB	NULL
1460		Anagallis tenella	Anagallis tenella	HERB	NULL
1461		Armeria maritima subsp. elongata	Armeria maritima subsp. elongata	HERB	NULL
1462		Circaea	Circaea	HERB	NULL
1463		Spikes/slide	Spikes/slide	NOPO	NULL
1464		Spikes/tablet	Spikes/tablet	NOPO	NULL
1465		Tablets	Tablets	NOPO	NULL
1466		Cruciferae-type	Brassicaceae	HERB	NULL
1467		Linum catharticum	Linum catharticum	HERB	NULL
1468		Petasites	Petasites	HERB	NULL
1469		Gaeumannomyces cf. G. caricis	Gaeumannomyces cf. G. caricis	FUNG	NULL
1470		Tetraploa aristata	Tetraploa aristata	FUNG	NULL
1471		Oxalidaceae	Oxalis	HERB	NULL
1472		Pteridium undifferentiated	Pteridium undifferentiated	VACR	NULL
1473		Empetrum cf. E. nigrum	Empetrum cf. E. nigrum	DWAR	NULL
1474		Tilia cordata-type	Tilia cordata-type	TRSH	NULL
1475		Drosera cf. D. rotundifolia	Drosera cf. D. rotundifolia	HERB	NULL
1476		Tussilago-type	Tussilago-type	HERB	NULL
1477		Urtica cf. U. dioica	Urtica cf. U. dioica	HERB	NULL
1478		cf. Potentilla palustris	cf. Potentilla palustris	INUN	NULL
1479		Sambucus cf. S. nigra	Sambucus cf. S. nigra	TRSH	NULL
1480		Stellaria	Cerastium-type	HERB	NULL
1481		Glyceria maxima	Glyceria maxima	HERB	NULL
1482		Phragmites australis	Phragmites australis	AQUA	NULL
1483		Potamogeton natans	Potamogeton natans-type	AQUA	NULL
1484		Rorippa amphibia	Rorippa amphibia	AQUA	NULL
1485		Scirpus	Scirpus	AQUA	NULL
1486		Sparganium erectum	Sparganium erectum	HELO	NULL
1487		Corylus maxima	Corylus maxima	TRSH	NULL
1488		Quercus petraea	Quercus petraea	TRSH	NULL
1489		Myosoton aquaticum	Myosoton aquaticum	HERB	NULL
1490		Schoenoplectus lacturis subsp. lacustris	Schoenoplectus lacturis subsp. lacustris	AQUA	NULL
1491		Scirpus-type	Scirpus-type	HELO	NULL
1492		Betula nana-type	Betula nana-type	DWAR	NULL
1493		Mentha	Mentha-type	HERB	NULL
1494		Sinapis	Sinapis-type	HERB	NULL
1495		Polygonum viviparum	Polygonum viviparum	HERB	NULL
1496		Scheuchzeria	Scheuchzeria	AQUA	NULL
1497		Tilletia	Tilletia	FUNG	NULL
1498		Salvinia	Salvinia	AQPT	NULL
1499		Cerealia-type/Secale	Cerealia-type/Secale	HERB	NULL
1500		Cerealia-type/Triticum	Cerealia-type/Triticum	HERB	NULL
1501		Daucaceae	Daucaceae	HERB	NULL
1502		Viciaceae	Lathyrus/Vicia-type	HERB	NULL
1503		Silenaceae	Silenaceae	HERB	NULL
1504		Typha angustifolia/Sparganium-type	Sparganium-type	AQUA	NULL
1505		Galeopsis-type	Galeopsis-type	HERB	NULL
1506		Lycopus	Lycopus	HERB	NULL
1507		Lysimachia vulgaris	Lysimachia vulgaris-type	HERB	NULL
1508		Potentilla/Comarum	Potentilla/Comarum	HERB	NULL
1509		Sagina-type	Sagina-type	HERB	NULL
1510		Valeriana dioica-type	Valeriana dioica	HERB	NULL
1511		Viola canina-type	Viola canina-type	HERB	NULL
1512		Andromeda	Andromeda polifolia	DWAR	NULL
1513		Spirulina	Spirulina	ALGA	NULL
1514		Arcella discoides	Arcella discoides	RHIZ	NULL
1515		Assulina seminulum	Assulina seminulum	RHIZ	NULL
1516		Petasites-type	Petasites-type	HERB	NULL
1517		Veratrum-type	Veratrum-type	HERB	NULL
1518		Viola palustris	Viola palustris	AQUA	NULL
1519		Hydrocotyle vulgaris	Hydrocotyle vulgaris	AQUA	NULL
1520		Rubus arcticus	Rubus arcticus	TRSH	NULL
1521		Diphasium-type	Diphasium-type	VACR	NULL
1522		Agrostemma githago	Agrostemma githago	HERB	NULL
1523		Papaver argemone	Papaver argemone	HERB	NULL
1524		cf. Littorella	cf. Littorella	INUN	NULL
1525		Diphasium tristachyum	Diphasium tristachyum	VACR	NULL
1526		Pre-Quaternary pollen	Pre-Quaternary pollen	PREQ	NULL
1527		Thymus-type	Thymus-type	HERB	NULL
1528		Pinaceae	Pinaceae	TRSH	NULL
1529		Concentration pollen	Concentration pollen	NOPO	NULL
1530		Amaranthaceae	Chenopodiaceae/Amaranthaceae	HERB	NULL
1531		Scleranthus perennis	Scleranthus perennis	HERB	NULL
1532		Carex hirta-type	Carex hirta-type	AQUA	NULL
1533		cf. Silene alba	cf. Silene alba	INUN	NULL
1534		Centaurea montana	Centaurea montana-type	HERB	NULL
1535		Erica tetralix	Erica tetralix-type	DWAR	NULL
1536		Lotus uliginosus	Lotus uliginosus	HERB	NULL
1537		Vicia sylvatica-type	Vicia sylvatica-type	HERB	NULL
1538		Chenopodium album	Chenopodiaceae/Amaranthaceae	HERB	NULL
1539		Rosaceae (type A)	Rosaceae (type A)	TRSH	NULL
1540		Cerinthe minor	Cerinthe minor	HERB	NULL
1541		Anthoceros laevis	Phaeoceros laevis-type	BRYO	NULL
1542		Zygnema-type	Zygnema-type	CHLO	NULL
1543		Sparganiaceae	Sparganiaceae	AQUA	NULL
1544		Sphagnales	Sphagnales	BRYO	NULL
