samplename	var_	count
Bakker_b1	55	6
Bakker_b1	34	2
Bakker_b1	71	18
Bakker_b1	5	7
Bakker_b1	72	17
Bakker_b1	35	3
Bakker_b1	58	18
Bakker_b1	11	829
Bakker_b1	44	7
Bakker_b1	60	27
Bakker_b1	18	254
Bakker_b1	41	4
Bakker_b1	65	6
Bakker_b1	77	3
Bakker_b1	42	3
Bakker_b1	31	39
Bakker_b1	23	44
Bakker_b1	28	3
Bakker_b1	43	1
Bakker_b10	55	3
Bakker_b10	34	1
Bakker_b10	71	18
Bakker_b10	5	1
Bakker_b10	100	2
Bakker_b10	101	4
Bakker_b10	7	14
Bakker_b10	72	7
Bakker_b10	35	47
Bakker_b10	58	21
Bakker_b10	102	3
Bakker_b10	11	706
Bakker_b10	104	1
Bakker_b10	95	1
Bakker_b10	105	10
Bakker_b10	106	78
Bakker_b10	107	3
Bakker_b10	44	2
Bakker_b10	108	1
Bakker_b10	60	37
Bakker_b10	109	1
Bakker_b10	110	12
Bakker_b10	111	11
Bakker_b10	113	3
Bakker_b10	114	1
Bakker_b10	18	17
Bakker_b10	115	30
Bakker_b10	21	10
Bakker_b10	117	2
Bakker_b10	65	1
Bakker_b10	77	3
Bakker_b10	119	11
Bakker_b10	123	8
Bakker_b10	31	1
Bakker_b10	23	115
Bakker_b10	126	3
Bakker_b10	28	4
Bakker_b10	133	1
Bakker_b10	134	2
Bakker_b11	55	2
Bakker_b11	34	2
Bakker_b11	3	1
Bakker_b11	71	17
Bakker_b11	5	1
Bakker_b11	100	2
Bakker_b11	101	96
Bakker_b11	7	5
Bakker_b11	72	7
Bakker_b11	35	24
Bakker_b11	58	15
Bakker_b11	102	6
Bakker_b11	11	823
Bakker_b11	104	2
Bakker_b11	95	1
Bakker_b11	105	22
Bakker_b11	106	121
Bakker_b11	107	2
Bakker_b11	44	2
Bakker_b11	138	1
Bakker_b11	60	23
Bakker_b11	109	1
Bakker_b11	110	9
Bakker_b11	139	3
Bakker_b11	111	8
Bakker_b11	113	2
Bakker_b11	140	7
Bakker_b11	18	13
Bakker_b11	115	38
Bakker_b11	21	10
Bakker_b11	117	2
Bakker_b11	65	1
Bakker_b11	123	3
Bakker_b11	23	77
Bakker_b11	129	1
Bakker_b11	131	1
Bakker_b11	145	2
Bakker_b11	133	1
Bakker_b11	134	3
Bakker_b11	147	1
Bakker_b11	149	3
Bakker_b12	55	6
Bakker_b12	34	2
Bakker_b12	4	1
Bakker_b12	71	21
Bakker_b12	5	1
Bakker_b12	100	4
Bakker_b12	101	2
Bakker_b12	72	5
Bakker_b12	35	7
Bakker_b12	58	21
Bakker_b12	102	3
Bakker_b12	11	852
Bakker_b12	104	1
Bakker_b12	95	1
Bakker_b12	137	1
Bakker_b12	105	10
Bakker_b12	106	198
Bakker_b12	44	3
Bakker_b12	108	10
Bakker_b12	150	2
Bakker_b12	60	8
