samplename	workerid	workerrole
Barboni_a196	3	R
Barboni_a197	3	R
Barboni_a2	3	R
Barboni_a2	178	
Barboni_a20	3	R
Barboni_a20	178	
Barboni_a21	3	R
Barboni_a21	178	
Barboni_a22	3	R
Barboni_a23	3	R
Barboni_a24	3	R
Barboni_a24	178	
Barboni_a25	3	R
Barboni_a26	3	R
Barboni_a27	3	R
Barboni_a28	3	R
Barboni_a29	3	R
Barboni_a3	3	R
Barboni_a3	178	
Barboni_a30	3	R
Barboni_a31	3	R
Barboni_a31	178	
Barboni_a32	3	R
Barboni_a32	178	
Barboni_a33	3	R
Barboni_a33	178	
Barboni_a34	3	R
Barboni_a34	178	
Barboni_a349	3	R
Barboni_a349	185	
Barboni_a35	3	R
Barboni_a350	3	R
Barboni_a350	190	
Barboni_a351	3	R
Barboni_a351	179	
Barboni_a352	3	R
Barboni_a352	179	
Barboni_a353	3	R
Barboni_a353	179	
Barboni_a354	3	R
Barboni_a355	3	R
Barboni_a356	3	R
Barboni_a357	3	R
Barboni_a358	3	R
Barboni_a359	3	R
Barboni_a36	3	R
Barboni_a360	3	R
Barboni_a361	3	R
Barboni_a362	3	R
Barboni_a363	3	R
Barboni_a364	3	R
Barboni_a365	3	R
Barboni_a366	3	R
Barboni_a367	3	R
Barboni_a368	3	R
Barboni_a369	3	R
Barboni_a37	3	R
Barboni_a370	3	R
Barboni_a371	3	R
Barboni_a372	3	R
Barboni_a373	3	R
Barboni_a374	3	R
Barboni_a375	3	R
Barboni_a375	184	
Barboni_a376	3	R
Barboni_a376	182	
Barboni_a377	3	R
Barboni_a377	181	
Barboni_a378	3	R
Barboni_a378	189	
Barboni_a379	3	R
Barboni_a379	179	
Barboni_a38	3	R
Barboni_a380	3	R
Barboni_a380	191	
Barboni_a381	3	R
Barboni_a381	182	
Barboni_a382	3	R
Barboni_a383	3	R
Barboni_a384	3	R
Barboni_a385	3	R
Barboni_a386	3	R
Barboni_a387	3	R
Barboni_a388	3	R
Barboni_a389	3	R
Barboni_a39	3	R
Barboni_a390	3	R
Barboni_a391	3	R
Barboni_a392	3	R
Barboni_a393	3	R
Barboni_a394	3	R
Barboni_a395	3	R
Barboni_a396	3	R
Barboni_a397	3	R
Barboni_a398	3	R
Barboni_a399	3	R
Barboni_a4	3	R
Barboni_a4	178	
Barboni_a40	3	R
Barboni_a400	3	R
Barboni_a401	3	R
Barboni_a402	3	R
Barboni_a403	3	R
Barboni_a404	3	R
Barboni_a405	3	R
Barboni_a406	3	R
Barboni_a407	3	R
Barboni_a408	3	R
Barboni_a409	3	R
Barboni_a41	3	R
Barboni_a410	3	R
Barboni_a411	3	R
Barboni_a412	3	R
Barboni_a413	3	R
Barboni_a414	3	R
Barboni_a415	3	R
Barboni_a416	3	R
Barboni_a417	3	R
Barboni_a418	3	R
Barboni_a419	3	R
Barboni_a42	3	R
Barboni_a420	3	R
Barboni_a421	3	R
Barboni_a422	3	R
Barboni_a423	3	R
Barboni_a424	3	R
Barboni_a425	3	R
Barboni_a426	3	R
Barboni_a427	3	R
Barboni_a428	3	R
Barboni_a429	3	R
Barboni_a43	3	R
Barboni_a430	3	R
Barboni_a431	3	R
Barboni_a432	3	R
Barboni_a433	3	R
Barboni_a434	3	R
Barboni_a435	3	R
Barboni_a436	3	R
Barboni_a437	3	R
Barboni_a438	3	R
Barboni_a439	3	R
Barboni_a44	3	R
Barboni_a440	3	R
Barboni_a441	3	R
Barboni_a442	3	R
Barboni_a443	3	R
Barboni_a444	3	R
Barboni_a445	3	R
Barboni_a446	3	R
Barboni_a447	3	R
Barboni_a448	3	R
Barboni_a449	3	R
Barboni_a45	3	R
Barboni_a450	3	R
Barboni_a451	3	R
Barboni_a452	3	R
Barboni_a453	3	R
Barboni_a454	3	R
Barboni_a455	3	R
Barboni_a456	3	R
Barboni_a457	3	R
Barboni_a458	3	R
Barboni_a459	3	R
Barboni_a46	3	R
Barboni_a460	3	R
Barboni_a461	3	R
Barboni_a462	3	R
Barboni_a463	3	R
Barboni_a464	3	R
Barboni_a465	3	R
Barboni_a466	3	R
Barboni_a467	3	R
Barboni_a468	3	R
Barboni_a469	3	R
Barboni_a47	3	R
Barboni_a470	3	R
Barboni_a471	3	R
Barboni_a472	3	R
Barboni_a473	3	R
Barboni_a474	3	R
Barboni_a475	3	R
Barboni_a476	3	R
Barboni_a477	3	R
Barboni_a478	3	R
Barboni_a479	3	R
Barboni_a48	3	R
Barboni_a480	3	R
Barboni_a481	3	R
Barboni_a482	3	R
Barboni_a483	3	R
Barboni_a484	3	R
Barboni_a485	3	R
Barboni_a486	3	R
Barboni_a487	3	R
Barboni_a488	3	R
Barboni_a489	3	R
Barboni_a49	3	R
Barboni_a490	3	R
Barboni_a491	3	R
Barboni_a492	3	R
Barboni_a493	3	R
Barboni_a494	3	R
Barboni_a495	3	R
Barboni_a496	3	R
Barboni_a497	3	R
Barboni_a498	3	R
Barboni_a499	3	R
Barboni_a5	3	R
Barboni_a5	178	
Barboni_a50	3	R
Barboni_a500	3	R
Barboni_a501	3	R
Barboni_a502	3	R
Barboni_a503	3	R
Barboni_a504	3	R
Barboni_a505	3	R
Barboni_a506	3	R
Barboni_a507	3	R
Barboni_a508	3	R
Barboni_a509	3	R
Barboni_a51	3	R
Barboni_a510	3	R
Barboni_a511	3	R
Barboni_a512	3	R
Barboni_a513	3	R
Barboni_a513	182	
Barboni_a514	3	R
